Designator,Mid X,Mid Y,Rotation,Layer
C1,166.53375,-111.3575,0.0,bottom
C10,163.10375,-129.2975,180.0,bottom
C2,166.5,-107.7575,90.0,bottom
C3,163.7,-107.7575,90.0,bottom
C4,163.06625,-111.3575,180.0,bottom
C5,179.98,-98.05,0.0,top
C6,179.98,-105.55,0.0,top
C7,166.57125,-129.2975,0.0,bottom
C8,166.5375,-125.6975,90.0,bottom
C9,163.7375,-125.6975,90.0,bottom
D1,176.575,-96.0,270.0,top
D2,157.5,-96.0,270.0,top
J1,175.645,-118.9,180.0,top
J2,153.96,-127.65,0.0,top
J3,153.96,-118.9,0.0,top
J4,175.64,-127.65,180.0,top
L1,179.98,-101.7575,90.0,top
PS1,183.4,-101.5275,90.0,bottom
RV1,164.8675,-116.53,270.0,top
U1,164.8375,-108.8,270.0,top
U2,164.8375,-91.34,270.0,top
U3,164.8375,-99.8,180.0,top
U4,164.8375,-126.74,270.0,top
VFD1,174.375,-98.53,0.0,bottom
VFD2,155.3,-98.53,0.0,bottom
