Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,CR2032,
"C1, C13, C15, C18, C6",CP_EIA-3216-18_Kemet-A,5,10u,
"C10, C11, C14, C16, C17, C2, C20, C4, C5, C8",0805,10,100n,
"C12, C3",0805,2,1u,
"C19, C7",CP_EIA-3216-18_Kemet-A,2,22u,
C9,0805,1,1n,
"D1, D2",0603,2,XGD10603MR,
"D3, D6, D7, D8, D9",SOT-323_SC-70,5,1PS70SB84,
D4,0603,1,Power LED,
D5,0603,1,MCU LED,
F1,0603,1,"2,5 A Fast Blow",
J1,PinSocket_2x02_P2.54mm_Vertical_SMD,1,Conn_01x04_Socket,
J2,PinHeader_2x03_P2.54mm_Horizontal,1,R_SIG_CONN,
J3,PinHeader_2x03_P2.54mm_Horizontal,1,R_PWR_CONN,
J4,CUI_UJ20-C-V-C-2-SMT-TR,1,USB_C_Receptacle_USB2.0_16P,
J5,PinHeader_2x03_P2.54mm_Horizontal,1,L_SIG_CONN,
J6,PinHeader_2x03_P2.54mm_Horizontal,1,L_PWR_CONN,
J7,PinSocket_2x04_P2.54mm_Vertical_SMD,1,CONN_GPIO,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,L_COL_CONN,
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,R_COL_CONN,
L1,1812,1,5.6u,
PS1,CONV_RS3K-0524S_H3,1,RS3K-0524S_H3,
"R1, R2, R3, R4, R5, R6",0805,6,4k7,
"R10, R9",0805,2,5k1,
"R11, R12, R13, R14, R18, R19, R20",0805,7,10k,
"R15, R16",0805,2,180,
R17,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,R_Photo,
"R7, R8",0805,2,100k,
RV1,Potentiometer_Bourns_3339P_Vertical,1,10,
"SW1, SW2",SW_SPST_PTS810,2,SW_SPST,
"SW3, SW4, SW5, SW6",SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,4,SW_SPST,
U1,SSOP-18_4.4x6.5mm_P0.65mm,1,TBD62783AFWG,
U10,SOT-223-3_TabPin2,1,AMS1117-1.5,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SC-74-6_1.55x2.9mm_P0.95mm,1,IP4234CZ6,
U4,SSOP-18_4.4x6.5mm_P0.65mm,1,TBD62783AFNG,
U5,TSSOP-16_4.4x5mm_P0.65mm,1,SN74HC595PWR,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ+TRL,
U8,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT45-AD1B-R2,
U9,VEML3235SL_Horizontal,1,VEML3235SL,
"VFD1, VFD2",PinSocket_1x12_P2.54mm_Vertical,2,IV-22,
